"BIRTH_DATE","CowId","herd","ENTER_HERD_DATE","LEFT_HERD_DATE","LEFT_HERD_CODE"
28OCT2015,540,2,28OCT2015,,.
04NOV2015,541,2,04NOV2015,,.
09NOV2015,542,2,09NOV2015,,.
21NOV2015,543,2,21NOV2015,,.
24NOV2015,544,2,24NOV2015,,.
18NOV2015,545,2,18NOV2015,,.
02DEC2015,546,2,02DEC2015,,.
15NOV2015,547,3,15NOV2015,,.
02JAN2016,548,1,02JAN2016,,.
27DEC2015,549,3,27DEC2015,03MAR2016,14
08JAN2016,550,3,08JAN2016,,.
13DEC2015,551,3,13DEC2015,,.
09DEC2015,552,3,09DEC2015,,.
09JAN2016,553,2,09JAN2016,,.
26DEC2015,554,2,26DEC2015,,.
12JAN2016,555,2,12JAN2016,,.
28DEC2015,556,2,28DEC2015,,.
29DEC2015,557,2,29DEC2015,,.
06JAN2016,558,2,06JAN2016,01MAY2017,14
06JAN2016,559,2,06JAN2016,,.
01FEB2016,560,3,01FEB2016,23AUG2017,14
14JAN2016,561,2,14JAN2016,,.
23JAN2016,562,2,23JAN2016,,.
30JAN2016,563,2,30JAN2016,,.
15FEB2016,564,2,15FEB2016,,.
20FEB2016,565,2,20FEB2016,,.
11FEB2016,566,3,11FEB2016,,.
13FEB2016,567,3,13FEB2016,,.
17FEB2016,568,3,17FEB2016,23AUG2017,10
17FEB2016,569,3,17FEB2016,,.
